Name,NACA 66-206
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,0.000000
95.012000,0.578000
90.023000,1.182000
85.031000,1.780000
80.034000,2.339000
75.034000,2.848000
70.031000,3.288000
65.026000,3.641000
60.018000,3.886000
55.009000,4.020000
50.000000,4.088000
44.990000,4.095000
39.981000,4.042000
34.971000,3.929000
29.962000,3.754000
24.954000,3.513000
19.947000,3.196000
14.942000,2.791000
9.939000,2.268000
7.439000,1.947000
4.941000,1.572000
2.447000,1.102000
1.202000,0.798000
0.707000,0.622000
0.461000,0.509000
0.000000,0.000000
0.539000,-0.409000
0.793000,-0.482000
1.298000,-0.584000
2.553000,-0.730000
5.059000,-0.940000
7.561000,-1.099000
10.061000,-1.234000
15.058000,-1.445000
20.053000,-1.604000
25.046000,-1.723000
30.038000,-1.810000
35.029000,-1.869000
40.019000,-1.900000
45.010000,-1.905000
50.000000,-1.882000
54.991000,-1.830000
59.982000,-1.744000
64.974000,-1.581000
69.969000,-1.344000
74.966000,-1.058000
79.966000,-0.747000
84.969000,-0.434000
89.977000,-0.148000
94.988000,0.054000
100.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.461000,0.254500
0.707000,0.082358
1.202000,0.116695
2.447000,0.192166
4.941000,0.320944
7.439000,0.427876
9.939000,0.520294
14.942000,0.675449
19.947000,0.797687
24.954000,0.896096
29.962000,0.972662
34.971000,1.030343
39.981000,1.071118
44.990000,1.095010
50.000000,1.103000
55.009000,1.095155
60.018000,1.071588
65.026000,1.031234
70.031000,0.973774
75.034000,0.897115
80.034000,0.798127
85.031000,0.674770
90.023000,0.517927
95.012000,0.315871
100.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
